,TimeStamp,High,Low,Open,Close,Total Volume,Period Volume,Number of Trades
111,2010-09-17 07:37:00,1133.0,1132.5,1132.75,1132.5,48819,689,0
112,2010-09-17 07:36:00,1132.25,1132.25,1132.25,1132.25,47954,30,0
113,2010-09-17 07:35:00,1132.75,1132.25,1132.75,1132.5,47924,101,0
114,2010-09-17 07:34:00,1133.75,1132.75,1133.75,1132.75,47823,155,0
115,2010-09-17 07:33:00,1133.75,1133.75,1133.75,1133.75,47624,23,0
116,2010-09-17 07:32:00,1134.25,1134.0,1134.25,1134.0,47487,18,0
117,2010-09-17 07:31:00,1134.0,1134.0,1134.0,1134.0,47469,3,0
118,2010-09-17 07:30:00,1134.0,1134.0,1134.0,1134.0,47442,157,0
119,2010-09-17 07:29:00,1134.0,1134.0,1134.0,1134.0,47285,89,0
120,2010-09-17 07:28:00,1134.25,1134.0,1134.25,1134.25,47196,15,0
121,2010-09-17 07:27:00,1134.5,1134.25,1134.25,1134.5,47181,11,0
122,2010-09-17 07:26:00,1134.25,1134.0,1134.0,1134.0,47170,110,0
123,2010-09-17 07:25:00,1134.0,1134.0,1134.0,1134.0,47051,2,0
124,2010-09-17 07:24:00,1134.25,1133.75,1134.25,1134.0,47049,148,0
125,2010-09-17 07:23:00,1134.25,1134.0,1134.25,1134.25,46901,4,0
126,2010-09-17 07:22:00,1134.25,1134.25,1134.25,1134.25,46897,13,0
127,2010-09-17 07:21:00,1134.5,1134.25,1134.5,1134.25,46883,381,0
128,2010-09-17 07:19:00,1135.0,1134.5,1135.0,1134.5,46439,224,0
129,2010-09-17 07:18:00,1135.0,1134.75,1134.75,1134.75,46213,45,0
130,2010-09-17 07:17:00,1135.25,1135.0,1135.25,1135.0,46168,12,0
131,2010-09-17 07:16:00,1135.5,1135.25,1135.25,1135.25,46087,10,0
132,2010-09-17 07:15:00,1135.5,1135.25,1135.25,1135.5,46077,2,0
133,2010-09-17 07:14:00,1135.5,1135.5,1135.5,1135.5,46075,149,0
134,2010-09-17 07:13:00,1135.75,1135.75,1135.75,1135.75,45926,4,0
135,2010-09-17 07:12:00,1136.0,1135.25,1136.0,1135.75,45917,31,0
136,2010-09-17 07:11:00,1136.0,1136.0,1136.0,1136.0,45886,23,0
137,2010-09-17 07:09:00,1136.5,1136.0,1136.5,1136.0,45853,15,0
138,2010-09-17 07:08:00,1136.25,1136.0,1136.0,1136.25,44987,20,0
139,2010-09-17 07:06:00,1135.75,1135.5,1135.5,1135.5,44940,17,0
140,2010-09-17 07:05:00,1135.5,1135.5,1135.5,1135.5,44923,7,0
141,2010-09-17 07:04:00,1135.0,1135.0,1135.0,1135.0,44916,3,0
142,2010-09-17 07:02:00,1135.5,1134.25,1134.5,1135.5,44913,14,0
143,2010-09-17 07:01:00,1135.0,1134.5,1135.0,1134.5,44896,209,0
144,2010-09-17 07:00:00,1134.75,1134.5,1134.5,1134.75,44686,568,0
145,2010-09-17 06:59:00,1134.5,1134.25,1134.5,1134.25,44083,16,0
146,2010-09-17 06:58:00,1134.5,1134.25,1134.25,1134.5,44067,63,0
147,2010-09-17 06:57:00,1134.5,1134.5,1134.5,1134.5,44004,3,0
148,2010-09-17 06:56:00,1134.25,1134.25,1134.25,1134.25,44001,11,0
149,2010-09-17 06:55:00,1134.5,1134.25,1134.5,1134.25,43990,16,0
150,2010-09-17 06:54:00,1134.25,1134.25,1134.25,1134.25,43874,6,0
151,2010-09-17 06:53:00,1134.75,1134.25,1134.75,1134.25,43868,57,0
152,2010-09-17 06:52:00,1135.0,1134.75,1135.0,1134.75,43796,55,0
153,2010-09-17 06:51:00,1135.25,1135.0,1135.0,1135.25,43741,3,0
154,2010-09-17 06:50:00,1135.25,1135.25,1135.25,1135.25,43390,2,0
155,2010-09-17 06:47:00,1135.25,1135.25,1135.25,1135.25,43388,2,0
156,2010-09-17 06:46:00,1135.25,1135.25,1135.25,1135.25,43386,107,0
157,2010-09-17 06:45:00,1135.25,1135.25,1135.25,1135.25,43279,10,0
158,2010-09-17 06:43:00,1135.5,1135.25,1135.5,1135.25,42934,3,0
159,2010-09-17 06:42:00,1135.5,1135.5,1135.5,1135.5,42931,5,0
160,2010-09-17 06:41:00,1135.75,1135.5,1135.75,1135.5,42926,56,0
161,2010-09-17 06:38:00,1136.0,1136.0,1136.0,1136.0,42397,4,0
162,2010-09-17 06:36:00,1135.75,1135.75,1135.75,1135.75,42393,5,0
163,2010-09-17 06:34:00,1136.0,1135.5,1136.0,1135.5,42388,10,0
164,2010-09-17 06:32:00,1135.75,1135.5,1135.5,1135.75,42304,112,0
165,2010-09-17 06:31:00,1135.75,1135.75,1135.75,1135.75,42192,6,0
166,2010-09-17 06:30:00,1135.75,1135.75,1135.75,1135.75,41784,2,0
167,2010-09-17 06:29:00,1135.75,1135.75,1135.75,1135.75,41782,65,0
168,2010-09-17 06:28:00,1135.75,1135.5,1135.75,1135.75,41717,130,0
169,2010-09-17 06:26:00,1136.0,1136.0,1136.0,1136.0,41587,27,0
170,2010-09-17 06:24:00,1136.25,1136.0,1136.0,1136.0,39815,21,0
171,2010-09-17 06:23:00,1136.0,1136.0,1136.0,1136.0,39794,97,0
172,2010-09-17 06:20:00,1136.0,1135.75,1136.0,1135.75,39668,7,0
173,2010-09-17 06:19:00,1136.0,1136.0,1136.0,1136.0,39661,24,0
174,2010-09-17 06:18:00,1136.25,1136.0,1136.0,1136.25,39637,6,0
175,2010-09-17 06:16:00,1136.25,1136.0,1136.25,1136.0,39629,30,0
176,2010-09-17 06:15:00,1136.25,1136.25,1136.25,1136.25,39599,4,0
177,2010-09-17 06:14:00,1136.5,1136.25,1136.25,1136.25,39595,201,0
178,2010-09-17 06:13:00,1136.25,1136.25,1136.25,1136.25,39394,1,0
179,2010-09-17 06:12:00,1136.5,1136.25,1136.25,1136.5,39393,24,0
180,2010-09-17 06:11:00,1136.25,1136.25,1136.25,1136.25,39369,48,0
181,2010-09-17 06:10:00,1136.25,1136.0,1136.25,1136.0,39315,2,0
182,2010-09-17 06:09:00,1136.25,1136.25,1136.25,1136.25,39313,1,0
183,2010-09-17 06:07:00,1136.0,1136.0,1136.0,1136.0,39308,1,0
184,2010-09-17 06:06:00,1136.0,1136.0,1136.0,1136.0,39307,5,0
185,2010-09-17 06:05:00,1136.25,1135.75,1136.0,1136.0,39302,78,0
186,2010-09-17 06:04:00,1136.0,1136.0,1136.0,1136.0,38469,13,0
187,2010-09-17 06:03:00,1136.5,1136.25,1136.25,1136.25,38444,129,0
188,2010-09-17 06:02:00,1136.5,1136.5,1136.5,1136.5,36016,1,0
189,2010-09-17 06:01:00,1136.25,1136.25,1136.25,1136.25,36015,10,0
190,2010-09-17 06:00:00,1136.75,1136.25,1136.5,1136.5,36005,73,0
191,2010-09-17 05:59:00,1136.75,1136.5,1136.5,1136.5,35932,66,0
192,2010-09-17 05:58:00,1136.5,1136.5,1136.5,1136.5,35866,70,0
193,2010-09-17 05:57:00,1136.75,1136.5,1136.75,1136.5,35796,60,0
194,2010-09-17 05:56:00,1137.0,1136.5,1136.5,1136.75,35736,136,0
195,2010-09-17 05:55:00,1136.5,1136.5,1136.5,1136.5,35599,60,0
196,2010-09-17 05:54:00,1136.5,1136.25,1136.5,1136.5,35539,70,0
197,2010-09-17 05:53:00,1136.5,1136.25,1136.25,1136.5,35469,70,0
198,2010-09-17 05:52:00,1136.75,1136.25,1136.25,1136.25,35399,63,0
199,2010-09-17 05:51:00,1136.5,1136.25,1136.25,1136.5,35336,270,0
200,2010-09-17 05:50:00,1136.25,1136.25,1136.25,1136.25,35066,62,0
201,2010-09-17 05:49:00,1136.5,1136.25,1136.25,1136.25,35004,70,0
202,2010-09-17 05:48:00,1136.25,1136.0,1136.25,1136.25,34934,60,0
203,2010-09-17 05:47:00,1136.75,1136.25,1136.75,1136.25,34874,76,0
204,2010-09-17 05:46:00,1136.75,1136.75,1136.75,1136.75,34798,70,0
205,2010-09-17 05:45:00,1137.0,1136.75,1137.0,1136.75,34728,6,0
206,2010-09-17 05:44:00,1137.25,1137.25,1137.25,1137.25,34522,10,0
207,2010-09-17 05:43:00,1137.0,1137.0,1137.0,1137.0,34512,50,0
208,2010-09-17 05:42:00,1137.0,1137.0,1137.0,1137.0,34462,5,0
209,2010-09-17 05:41:00,1137.25,1137.0,1137.25,1137.0,34457,50,0
210,2010-09-17 05:40:00,1137.25,1137.25,1137.25,1137.25,34406,1,0
211,2010-09-17 05:39:00,1137.25,1137.25,1137.25,1137.25,34405,5,0
212,2010-09-17 05:38:00,1137.25,1137.0,1137.25,1137.0,34400,11,0
213,2010-09-17 05:37:00,1137.25,1137.25,1137.25,1137.25,34389,5,0
214,2010-09-17 05:35:00,1137.25,1137.25,1137.25,1137.25,34384,114,0
215,2010-09-17 05:34:00,1137.25,1137.25,1137.25,1137.25,34270,46,0
216,2010-09-17 05:33:00,1137.5,1137.25,1137.25,1137.5,34224,18,0
217,2010-09-17 05:32:00,1137.5,1137.0,1137.0,1137.5,34206,16,0
218,2010-09-17 05:31:00,1136.75,1136.5,1136.5,1136.75,34190,13,0
219,2010-09-17 05:30:00,1136.0,1136.0,1136.0,1136.0,34177,3,0
220,2010-09-17 05:29:00,1136.0,1136.0,1136.0,1136.0,34174,6,0
221,2010-09-17 05:28:00,1136.25,1136.0,1136.25,1136.25,34168,173,0
222,2010-09-17 05:27:00,1136.5,1136.25,1136.5,1136.25,33995,6,0
223,2010-09-17 05:26:00,1136.25,1136.25,1136.25,1136.25,33989,20,0
224,2010-09-17 05:25:00,1136.25,1136.25,1136.25,1136.25,33968,57,0
225,2010-09-17 05:24:00,1136.25,1136.25,1136.25,1136.25,33911,55,0
226,2010-09-17 05:23:00,1136.25,1136.25,1136.25,1136.25,33856,53,0
227,2010-09-17 05:22:00,1136.25,1136.25,1136.25,1136.25,33803,505,0
228,2010-09-17 05:21:00,1136.25,1136.25,1136.25,1136.25,33209,1,0
229,2010-09-17 05:19:00,1136.0,1136.0,1136.0,1136.0,33208,5,0
230,2010-09-17 05:18:00,1136.25,1136.0,1136.25,1136.0,33203,10,0
231,2010-09-17 05:17:00,1136.5,1136.25,1136.5,1136.25,33193,44,0
232,2010-09-17 05:15:00,1136.75,1136.75,1136.75,1136.75,32949,5,0
233,2010-09-17 05:14:00,1136.75,1136.75,1136.75,1136.75,32916,1,0
234,2010-09-17 05:12:00,1137.0,1136.75,1136.75,1137.0,32915,28,0
235,2010-09-17 05:11:00,1137.25,1137.25,1137.25,1137.25,32882,1,0
236,2010-09-17 05:10:00,1137.0,1137.0,1137.0,1137.0,32881,10,0
237,2010-09-17 05:07:00,1137.25,1136.75,1137.25,1136.75,32871,67,0
238,2010-09-17 05:06:00,1137.25,1137.25,1137.25,1137.25,32804,1,0
239,2010-09-17 05:05:00,1137.25,1137.25,1137.25,1137.25,32803,1,0
240,2010-09-17 05:04:00,1137.0,1137.0,1137.0,1137.0,32802,1,0
241,2010-09-17 05:03:00,1137.0,1137.0,1137.0,1137.0,32801,6,0
242,2010-09-17 05:02:00,1136.75,1136.75,1136.75,1136.75,32780,5,0
243,2010-09-17 05:00:00,1136.5,1136.5,1136.5,1136.5,32775,4,0
244,2010-09-17 04:59:00,1136.5,1136.5,1136.5,1136.5,32771,18,0
245,2010-09-17 04:57:00,1136.5,1136.25,1136.25,1136.5,32688,18,0
246,2010-09-17 04:56:00,1136.5,1136.25,1136.25,1136.25,32670,22,0
247,2010-09-17 04:55:00,1136.25,1136.0,1136.25,1136.25,32225,143,0
248,2010-09-17 04:54:00,1136.25,1136.25,1136.25,1136.25,31082,100,0
249,2010-09-17 04:53:00,1136.5,1136.25,1136.5,1136.25,30982,20,0
250,2010-09-17 04:52:00,1136.75,1136.75,1136.75,1136.75,30961,1,0
251,2010-09-17 04:51:00,1136.5,1136.5,1136.5,1136.5,30960,10,0
252,2010-09-17 04:50:00,1136.5,1136.5,1136.5,1136.5,27815,5,0
253,2010-09-17 04:47:00,1136.25,1136.25,1136.25,1136.25,27810,85,0
254,2010-09-17 04:46:00,1136.25,1136.25,1136.25,1136.25,27725,24,0
255,2010-09-17 04:44:00,1136.25,1136.0,1136.25,1136.0,27647,15,0
256,2010-09-17 04:43:00,1136.25,1136.25,1136.25,1136.25,27629,16,0
257,2010-09-17 04:42:00,1136.5,1136.25,1136.5,1136.25,27603,10,0
258,2010-09-17 04:41:00,1136.5,1136.5,1136.5,1136.5,27593,100,0
259,2010-09-17 04:40:00,1136.25,1136.25,1136.25,1136.25,27492,5,0
260,2010-09-17 04:39:00,1136.5,1136.0,1136.25,1136.0,27487,26,0
261,2010-09-17 04:38:00,1136.5,1136.25,1136.5,1136.25,27461,18,0
262,2010-09-17 04:37:00,1137.5,1136.75,1137.5,1136.75,27238,9,0
263,2010-09-17 04:36:00,1137.5,1137.5,1137.5,1137.5,27228,5,0
264,2010-09-17 04:35:00,1137.5,1137.25,1137.25,1137.5,27223,363,0
265,2010-09-17 04:34:00,1137.25,1137.25,1137.25,1137.25,26857,18,0
266,2010-09-17 04:33:00,1137.25,1137.25,1137.25,1137.25,26834,4,0
267,2010-09-17 04:32:00,1137.5,1137.25,1137.25,1137.5,26830,35,0
268,2010-09-17 04:31:00,1137.5,1137.5,1137.5,1137.5,26795,30,0
269,2010-09-17 04:30:00,1137.75,1137.5,1137.5,1137.75,26765,25,0
270,2010-09-17 04:29:00,1137.75,1137.5,1137.5,1137.5,26730,16,0
271,2010-09-17 04:28:00,1137.5,1137.5,1137.5,1137.5,26714,1,0
272,2010-09-17 04:27:00,1137.75,1137.75,1137.75,1137.75,26713,1,0
273,2010-09-17 04:26:00,1137.5,1137.25,1137.5,1137.25,26712,10,0
274,2010-09-17 04:25:00,1137.75,1137.25,1137.25,1137.5,26702,42,0
275,2010-09-17 04:24:00,1137.25,1137.0,1137.0,1137.25,26660,32,0
